"","name","revenue","growth"
"1","TCS","94,648","16"
"2","Cognizant Technology Solutions","65,779","18"
"3","Infosys Technologies","53,319","6"
"4","Wipro","47,318","8"
"5","Hewlett-Packard India","37,985","4"
"6","HCL Technologies","35,709","14"
"7","Tech Mahindra","22,621","20"
"8","IBM India","20,442","9"
"9","Ingram Micro India","15,823","12"
"10","Redington India","14,610","7"
"11","Dell India","13,984","30"
"12","Oracle India","12,440","9"
"13","SAP India","9,896","4"
"14","Cisco Systems India ","9,740","9"
"15","Microsoft India","8,624","19"
"16","IGATE","7,879","17"
"17","APC by Schneider Electric India","6,848","12"
"18","Capgemini India","6,305","15"
"19","Intel India","6,292","-2"
"20","HCL Infosystems","6,270","-24"
"21","Lenovo India","6,020","5"
"22","Savex Computers","5,905","4"
"23","Mphasis","5,806","-3"
"24","Syntel ","5,586","7"
"25","L&T Infotech","5,480","13"
"26","Samsung India","3,995","1"
"27","Acer India","3,692","2"
"28","Rolta India","3,679","18"
"29","Mindtree","3,547","17"
"30","Genpact","3,320","6"
"31","KPIT Technologies","2,990","11"
"32","Rashi Peripherals","2,984","36"
"33","CSC India","2,961","3"
"34","Vakrangee","2,775","41"
"35","Cyient","2,736","24"
"36","Hexaware Technologies","2,706","14"
"37","Tata Technologies","2,644","10"
"38","Zensar Technologies","2,628","13"
"39","Iris Computers","2,573","36"
"40","Apple India","2,560","40"
"41","CMC ","2,513","13"
"42","EMC India","2,452","15"
"43","NIIT Technologies","2,373","3"
"44","Asus India","2,234","25"
"45","Compuage Infocom","2,129","-7"
"46","Texas Instruments India","2,110","9"
"47","Canon India","2,026","6"
"48","Lycos Internet","1,957","17"
"49","Supertron Electronics","1,948","24"
"50","Polaris Consulting & Services","1,894","NA"
"51","Persistent Systems","1,882","12"
"52","Infinite Computer Solutions","1,737","0.3"
"53","Sonata Software","1,682","7"
"54","Ricoh India","1,637","56"
"55","Neoteric Infomatique","1,605","7"
"56","Symantec India","1,534","8"
"57","ITC Infotech India","1,458","14"
"58","NetApp India","1,438","12"
"59","SFO Technologies","1,370","14"
"60","3i Infotech","1,344","3"
"61","Sify Technologies","1,286","23"
"62","Seagate India","1,210","4"
"63","CSS Corp","1,198","11"
"64","Zicom Electronic Security Systems","1,108","20"
"65","Geometric ","1,106","1"
"66","Epson India","1,078","23"
"67","Mastek","1,030","13"
"68","Xerox India","1,010","2"
"69","Birlasoft","995","6"
"70","NIIT Limited","957","1"
"71","eClerx","942","12"
"72","OnMobile Global ","917","6"
"73","AGC Networks","888","14"
"74","Tata Elxsi","853","10"
"75","Intex Technologies","835","15"
"76","TAKE Solutions","799","-2"
"77","Adobe Systems India","796","15"
"78","Aurionpro","737","14"
"79","Juniper Networks India","679","-4"
"80","Cybage Software","670","15"
"81","R Systems International","663","6"
"82","VMware","650","NA"
"83","CORE Education & Technologies","628","-51"
"84","D-Link","626","29"
"85","Fujitsu India","625","19"
"86","AMD India","610","16"
"87","Intellect Design Arena","605","14"
"88","Fortune Marketing","560","10"
"89","Trigyn Technologies","493","9"
"90","Accel Frontline","486","15"
"91","LG India","470","23"
"92","Team Computers","452","47"
"93","CA Technologies India","450","-18"
"94","RS Software","439","15"
"95","Sasken Communication Technology","428","-7"
"96","Zylog Systems","411","-75"
"97","Subex","361","5"
"98","Nucleus Software","353","2"
"99","Huawei India","224","32"
"100","SQS India BFSI","216","10"
